table,column,type,pk,nullable,unique,fk_table,fk_column,note
users,id,uuid,yes,no,no,,,
users,name,text,no,no,no,,,
users,email,citext,no,yes,yes,,,nullable until guest claims account
users,phone,text,no,yes,yes,,,
users,avatar_bucket,text,no,yes,no,,,
users,avatar_path,text,no,yes,no,,,
users,status,user_status,no,no,no,,,enum: active|guest|deleted
users,created_at,timestamptz,no,no,no,,,
users,updated_at,timestamptz,no,no,no,,,
events,id,uuid,yes,no,no,,,
events,name,text,no,no,no,,,
events,description,text,no,yes,no,,,
events,event_type,event_type,no,no,no,,,enum: birth|wedding|hospital|trip|other
events,status,event_status,no,no,no,,,enum: draft|active|ended|archived
events,visibility,event_visibility,no,no,no,,,enum: private|link|public
events,starts_at,timestamptz,no,no,no,,,
events,ends_at,timestamptz,no,yes,no,,,triggers story generation when set
events,timezone,text,no,no,no,,,IANA tz like America/Los_Angeles
events,location_name,text,no,yes,no,,,
events,location_lat,numeric,no,yes,no,,,
events,location_lng,numeric,no,yes,no,,,
events,cover_media_id,uuid,no,yes,no,media,id,
events,created_by_user_id,uuid,no,no,no,users,id,
events,update_count,int,no,no,no,,,maintained by trigger; default 0
events,reaction_count,int,no,no,no,,,maintained by trigger; default 0
events,comment_count,int,no,no,no,,,maintained by trigger; default 0
events,member_count,int,no,no,no,,,maintained by trigger; default 0
events,created_at,timestamptz,no,no,no,,,
events,updated_at,timestamptz,no,no,no,,,
events,deleted_at,timestamptz,no,yes,no,,,
event_members,id,uuid,yes,no,no,,,
event_members,event_id,uuid,no,no,no,events,id,
event_members,user_id,uuid,no,no,no,users,id,unique with event_id
event_members,role,member_role,no,no,no,,,enum: owner|contributor|viewer
event_members,status,member_status,no,no,no,,,enum: invited|active|removed
event_members,invited_by_user_id,uuid,no,yes,no,users,id,
event_members,invite_token,text,no,yes,yes,,,only set while status=invited
event_members,invite_expires_at,timestamptz,no,yes,no,,,
event_members,joined_at,timestamptz,no,yes,no,,,
event_members,last_seen_update_id,uuid,no,yes,no,updates,id,unread tracking
